Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
Cryosat-2,ESA,European Space Agency (ESA),ESA,Government,Earth Observation,Radar Imaging,LEO,Polar,0,713,724,0.000776,92,99.2,720,,,4/8/2010,3,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-013A,36508
CSSWE,USA,University of Colorado,USA,Civil,Earth Science,,LEO,Non-Polar Inclined,0,479,791,0.0223,64.6,97.4,3,,,9/13/2012,1 yr.,University of Colorado,USA,Vandenberg AFB,Atlas 5,2012-048D,38761
Cubebug 1,Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,,LEO,Sun-Synchronous,0,630,653,0.00164,98.05,97.55,2,,,4/26/2013,,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Jiuquan Satellite Launch Center,CZ-2D,2013-018D,39153
Cubebug 2,NR,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,,LEO,Sun-Synchronous,0,594,715,0.00861,97.8,97.8,2,,,11/21/2013,,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440
Cubesat XI-IV ,Japan,"Department of Astronautics, University of Tokyo",Japan,Civil,Technology Development,,LEO,Sun-Synchronous,0,815,830,0.00104,98.7,101.3,,1,,6/30/2003,,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848
CUSat-1,NR,"Space Systems Design Studio, Cornell University",USA,Civil,Technology Development,,LEO,Polar,0,326,1465,0.0784,80.99,102.89,,,2.2,9/29/2013,0.5,"Space Systems Design Studio, Cornell University",USA,Vandenberg AFB,Falcon 9,2013-055B,39266
Daichi-2,NR,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,630,635,0.000357,97.88,97.36,2120,,5200,5/24/2014,7,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2014-029A,39766
DAMPE,NR,Chinese Academy of Science,China,Government,Space Science,,LEO,Sun-Synchronous,0,488,505,0.00124,97.3,94.54,1850,,,12/17/2015,3,Chinese Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,2015-078A,41173
DCBB,NR,China Amateur Satellite - CAMSAT,China,Civil,Technology Development,,LEO,Sun-Synchronous,0,514,536,0.0016,97.46,95.13,3,,,9/19/2015,, Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049P,40912
Deimos 1,Spain,Deimos Imaging/DMC International Imaging (DMCII),Spain,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,662,7.11E-05,98,98,90,,,7/29/2009,5,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Dnepr,2009-041A,35681
Deimos 2,NR,Deimos Imaging/DMC International Imaging (DMCII),Spain,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,597,619,0.00158,97.99,96.85,310,,450,6/19/2014,10,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2014-033D,40013
Delfi-C3,NR,"Technical University, Delft",Netherlands,Civil,Technology Development,,LEO,Sun-Synchronous,0,598,616,0.00129,97.8,96.8,7,,,4/28/2008,,Technical University of Delft,Netherlands,Satish Dhawan Space Center,PSLV C9,2008-021G,32789
DirecTV-10,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-102.74,35785,35788,3.56E-05,0.04,1436.1,5900,3700,18000,7/7/2007,15,Boeing Space and Intelligence Systems,USA,Baikonur Cosmodrome,Proton M,2007-032A,31862
DirecTV-11,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-99.21,35786,35786,0,0.03,1436.1,5900,,,3/19/2008,,Boeing Satellite Development Center,USA,Sea Launch (Odyssey),Zenit 3SL,2008-013A,32729
DirecTV-12,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-102.8,35785,35786,1.19E-05,0.09,1436.04,5900,,"8,700 (BOL)",12/29/2009,15,Boeing Space Systems,USA,Baikonur Cosmodrome,Breeze M,2009-075A,36131
DirecTV-14,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-99,35930,35933,3.55E-05,0.02,1443.51,5900,,20000,12/6/2014,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-078B,40333
DirecTV-15,NR,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-103,35685,35809,0.00147,0.1,1434.07,5500,2364,,5/27/2015,15,Airbus Defense and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2015-026A,40663
DirecTV-1R,USA,Russian Satellite Communications Co.,Russia,Commercial,Communications,,GEO,,55.9,35778,35795,0.000202,0.03,1436.1,3420,2304,"8,700 (BOL)",10/10/1999,15,Hughes Electronics Corp.,USA,Sea Launch (Odyssey),Zenit 3SL,1999-056A,25937
DirecTV-4S,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-101.15,35780,35792,0.000142,0.05,1436.09,4300,2100,"8,100 (EOL)",11/27/2001,15,Hughes Electronics Corp.,USA,Guiana Space Center,Ariane 44LP,2001-052A,26985
DirecTV-5,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-110.05,35773,35799,0.000308,0.07,1436.08,4300,3640,,5/7/2002,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-023A,27426
DirecTV-7S,USA,"DirecTV, Inc. ",USA,Commercial,Communications,,GEO,,-119.04,35774,35797,0.000273,0.01,1436.1,5483,3500,13000,5/4/2004,15,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,2004-016A,28238
DirecTV-8,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-100.81,35777,35796,0.000225,0.02,1436.1,3800,,8200,5/22/2005,12,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,2005-019A,28659
DirecTV-9S,USA,"DirecTV, Inc.",USA,Commercial,Communications,,GEO,,-101.08,35774,35798,0.000285,0.03,1436.1,5500,2364,13900,10/13/2006,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2006-043A,29494
DLR Tubsat,NR,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Government,Earth Science,,LEO,Sun-Synchronous,0,712,732,0.00141,98.6,99.2,45,,120,5/26/1999,1 yr.,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV C2,1999-029B,25757
DMC 3-1,United Kingdom,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,663,0.00192,98,97.71,447,,,7/10/2015,10,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032A,40715
DMC 3-2,United Kingdom,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,663,0.00192,98,97.71,447,,,7/10/2015,10,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032B,40716
DMC 3-3,United Kingdom,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,661,0.00178,98,97.69,447,,,7/10/2015,10,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032C,40717
USA 131,USA,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,0.0009,98.9,101.9,1134,823,900,4/4/1997,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1997-012A,24753
USA 147,USA,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,837,851,0.00097,98.9,101.8,1152,823,900,12/12/1999,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1999-067A,25991
USA 172,USA,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,843,852,0.000623,98.9,101.87,1154,825,900,10/18/2003,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,2003-048A,28054
USA 173,USA,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,0.0009,98.79,101.89,1154,825,900,11/4/2006,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 4,2006-050A,29522
USA 210,USA,DoD/NOAA,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,859,0.00118,98.93,101.94,1155,825,900,10/18/2009,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Atlas 5,2009-057A,35951
Dove 1c-1,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,605,621,0.00115,97.99,96.96,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033T,40027
Dove 1c-10,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,604,621,0.00122,97.99,96.95,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033P,40023
Dove 1c-11,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,622,0.00115,97.99,96.98,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033Z,40033
Dove 1c-2,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,605,623,0.00129,97.99,96.98,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033V,40029
Dove 1c-3,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,608,624,0.00115,97.99,97.02,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AH,40041
Dove 1c-4,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,622,0.00107,97.99,96.98,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033X,40031
Dove 1c-5,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,625,0.00136,97.99,97.01,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AE,40038
Dove 1c-6,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,622,0.00107,97.99,96.99,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AC,40036
Dove 1c-7,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,620,0.001,97.99,96.96,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033S,40026
Dove 1c-8,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,625,0.00129,97.99,97.02,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AG,40040
Dove 1c-9,USA,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,623,0.00115,97.99,96.99,4,,,6/19/2014,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AB,40035
Dove 1e-10,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,401,0.000222,51.6,92.55,4,,,7/15/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GP,40737
Dove 1e-11,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,402,0.000443,51.6,92.54,4,,,7/15/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GQ,40738
Dove 1e-12,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,402,0.000443,51.6,92.54,4,,,7/15/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GR,40739
Dove 1e-13,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,401,0.000443,51.6,92.55,4,,,7/16/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GS,40740
Dove 1e-14,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,403,0.000591,51.6,92.53,4,,,7/16/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GT,40741
Dove 1e-6,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,403,0.000517,51.6,92.55,4,,,7/15/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GM,40729
Dove 1e-7,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,402,0.000443,51.6,92.54,4,,,7/14/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GJ,40726
Dove 2b-1,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,403,0.000222,51.65,92.6,4,,,10/6/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HB,40950
Dove 2b-10,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,408,0.00096,51.64,92.6,4,,,10/7/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HL,40963
Dove 2b-13,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,407,0.000738,51.64,92.6,4,,,10/7/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HM,40979
Dove 2b-14,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,406,0.000591,51.64,92.6,4,,,10/7/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HN,40980
Dove 2b-2,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,406,0.000591,51.64,92.6,4,,,10/6/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HC,40951
Dove 2b-3,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,405,0.000443,51.64,92.6,4,,,10/6/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HD,40952
Dove 2b-4,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,401,403,0.000148,51.63,92.6,4,,,10/6/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HE,40953
Dove 2b-5,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,409,0.00096,51.65,92.61,4,,,10/6/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HF,40954
Dove 2b-6,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,409,0.00096,51.65,92.61,4,,,10/6/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HG,40955
Dove 2b-7,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,408,0.000886,51.64,92.6,4,,,10/6/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HH,40956
Dove 2b-9,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,408,0.000886,51.64,92.6,4,,,10/7/2015,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HK,40962
Dove 2e-1,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,407,0.000221,51.6,92.6,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JD,41483
Dove 2e-2,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,403,406,0.000221,51.6,92.6,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JE,41484
Dove 2e-3,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,408,0.000295,51.6,92.5,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JG,41486
Dove 2e-4,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,402,407,0.000369,51.6,92.5,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JH,41487
Dove 2ep-1,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,0.000222,51.6,92.5,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HZ,41479
Dove 2ep-2,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,401,7.38E-05,51.6,92.5,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JB,41481
Dove 2ep-3,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,402,0.000295,51.6,92.5,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JA,41480
Dove 2ep-4,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,0.000222,51.6,92.5,4,,,5/17/2016,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1988-067JC,41482
Dove 2p-1,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,513,0.000945,97.51,94.75,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040U,41617
Dove 2p-2,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,516,0.00124,97.51,94.77,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040L,41609
Dove 2p-3,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040V,41618
Dove 2p-4,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,514,0.00109,97.51,94.76,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040N,41611
Dove 2p-5,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040T,41616
Dove 2p-6,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040H,41606
Dove 2p-7,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.75,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040S,41615
Dove 2p-8,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.76,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040Q,41613
Dove 2p-9,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,514,0.00102,97.51,94.77,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040M,41610
Dove 2p-10,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,513,0.000945,97.51,94.76,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040P,41612
Dove 2p-11,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,496,518,0.0016,97.51,94.77,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040K,41608
Dove 2p-12,NR,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,499,514,0.00109,97.51,94.75,4,,,6/22/2016,,"Planet Labs, Inc.",USA,Satish Dhawan Space Center,PSLV XL,2016-040R,41614
Dove-3,USA,"Planet Labs, Inc.",USA,Commercial,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,594,815,0.0156,97.7,98.8,4,,,11/21/2013,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2013-066P,39429
Data Relay Test Satellite (DRTS),Japan,National Space Development Agency,Japan,Government,Technology Development,,GEO,,90.77,35775,35799,0.000285,0.02,1436.12,2650,1500,2100,9/10/2002,7,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2002-042B,27516
USA 167,USA,US Air Force,USA,Military,Communications,,GEO,,60.01,35771,35802,0.000368,0.03,1436.12,1156,884,1240,3/11/2003,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2003-008A,27691
USA 170,USA,US Air Force,USA,Military,Communications,,GEO,,-52.51,35760,35814,0.00064,0.05,1436.1,1156,884,1240,8/29/2003,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,2003-040A,27875
USA 135,USA,US Air Force,USA,Military,Communications,,GEO,,-130.05,35757,35817,0.000712,2.54,1436.1,1156,884,1240,10/24/1997,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 4,1997-065A,25019
USA 148,USA,US Air Force,USA,Military,Communications,,GEO,,-135.11,35706,35868,0.00192,0.01,1436.13,1156,884,1240,1/1/2000,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-001A,26052
USA 153,USA,US Air Force,USA,Military,Communications,,GEO,,-12.15,35774,35799,0.000297,0.04,1436.12,1156,884,1240,10/20/2000,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,2000-065A,26575
USA 113,USA,US Air Force,USA,Military,Communications,,GEO,,-52.4,35784,35784,0,0,1436.1,1156,884,1240,7/31/1995,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Atlas 2A,1995-038A,23628
USA 130,USA,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,,0,35780,35800,0.000237,0.1,1436.27,2380,,1485,2/23/1997,5,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,1997-008A,24737
USA 149,USA,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,,-36.25,35897,35909,0.000142,4.08,142.08,2380,,1485,5/18/2000,7-9,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,2000-024A,26356
USA 159,USA,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,,69.48,35765,35810,0.000534,3.68,1436.14,2380,,1485,8/6/2001,7-9,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan 4B,2001-033A,26880
USA 176,USA,Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,,103.84,35741,35832,0.00108,1.41,1436.12,2380,,1485,2/14/2004,7-9,Northrup Grumman (formerly TRW),USA,Cape Canaveral,Titan 4B,2004-004A,28158
DubaiSat-1,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),United Arab Emirates,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,662,680,0.00128,98,98.2,200,,360,7/29/2009,5,Satrec Initiative,South Korea,Baikonur Cosmodrome,Dnepr,2009-041B,35682
DubaiSat-2,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),United Arab Emirates,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,585,603,0.00129,97.8,96.56,300,,360,11/21/2013,5,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2013-066D,39419
Duchifat-1,NR,Herzliya Science Centre (HSC),Israel,Civil,Communications,,LEO,Sun-Synchronous,0,601,623,0.00158,97.97,96.93,1,,,6/19/2014,,Herzliya Science Centre (HSC),Israel,Dombarovsky Air Base,Dnepr,2014-033M,40021
DX-1,Russia,Dauria Aerospace,Russia,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,626,636,0.000714,98.4,97.33,27,,,7/8/2014,,Dauria Aerospace,Russia,Baikonur Cosmodrome,Soyuz-2.1b,2014-037C,40071
Echostar 1 ,USA,"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC)",Mexico,Commercial,Communications,,GEO,,77.15,35776,35795,0.000225,0.01,1436.07,3287,2000,7000,12/28/1995,12,Lockheed Martin Astro Space,USA,Xichang Satellite Launch Center,Long March 2E,1995-073A,23754
Echostar 10,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-110.07,35780,35792,0.000142,0.06,1436,4333,,10000,2/15/2006,15,Lockheed Martin Commercial Space Systems,USA,Sea Launch,Zenit 3SL,2006-003A,28935
Echostar 11,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-109.97,35778,35793,0.000178,0.03,1436.1,5500,,20000,7/16/2008,15,Space Systems/Loral,USA,Sea Launch,Zenit 3SL,2008-035A,33207
Echostar 12,USA,"Echostar Technologies, LLC",USA,Commercial,Communications,,GEO,,-61.63,35782,35791,0.000107,0.06,1436.11,4328,,,7/17/2003,18,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2003-033A,27852
